IM Name,Average Votes
fleet_captain_jaime_wolfe,4.88
DavieWants2,4.85
vamale_692005,4.84
kalowoodsman,4.84
thenewperson62,4.83
jackman_9682,4.77
smileman74,4.72
shinelfmc2005,4.71
can_i_rape_you_anally,4.69
swgamaleyess,4.69
CrazyTrini85,4.68
REDBD,4.68
Tucsftcoach,4.66
Wulfker_Dragonslayer,4.66
tim_myers3,4.65
Assfider,4.64
Arthinice,4.62
lorne_a_20014,4.62
yankees_9ers_dad,4.62
jleno9,4.62
SpecialGuy29,4.62
Mountaindew63401,4.62
jbrian1964,4.61
lil_dyprd_baby,4.61
b080387,4.6
stevetakespix / uconnbluenwhite / rickspics2006,4.6
Stylelisticgrooves,4.6
Oberon318,4.6
Jimster7,4.59
greg_lovette33,4.59
sjklanke,4.59
michigan19602000,4.58
FOTOPHIX,4.58
dicksobig69,4.58
gmoney301981,4.58
dogshowsifudo,4.57
Steve_steve875,4.57
icepirate53,4.57
manofdarkneedsl951,4.57
manontherun45,4.56
georgia_emti,4.56
funjxn1,4.55
WBSooner,4.55
luvs2eaturpeach,4.54
"test_post
Average Votes: 4.54
Yahoo IM - , Alabama",4.53
boxbody00,4.53
arb1210,4.53
"Hardchuck1
Average Votes: 4.53
AOL IM - Anaheim, California",4.52
dtwnsd,4.51
banditcapt71,4.51
cantonguy4fun / cantonguylookin,4.51
Markiemarcc,4.51
jim_garvin56,4.51
highplainsrider20002000,4.5
Simpatico174,4.5
Daveeatsyou,4.5
tofast4yall2003,4.5
whittierlacumandbig,4.5
jaydan0033,4.5
ben_taul2000,4.5
rauch_jim,4.5
flxnonya,4.49
willeycoyote41,4.49
onelstsoul,4.49
jbird2000_95020,4.49
navyboy_usn,4.49
aladiesmasseur,4.48
bud448002,4.48
tmceach2000,4.48
atonomous2000,4.48
likuososweet,4.48
steven_duncil78,4.47
HAIRYONE4U,4.47
grassman334/bigracingfan898,4.47
the_donjuan02,4.46
dave40962,4.46
paulcarder86,4.46
changeforthebetter2006,4.46
lovesoral54956,4.45
Justinnbos,4.45
dukered2000,4.45
va_breitling,4.45
KCROWOO,4.45
wow_you_like,4.44
ArmySgt1961,4.44
ProtegeES2002,4.44
tophat106,4.44
southbayguy310,4.44
mesadash8pilot,4.44
sjw632001,4.43
crackspackler200,4.43
eveready122,4.43
bald_beaver_hunter42025,4.43
your_lil_nene,4.43
elchiva8395020,4.42
ryan4686,4.42
daddy_needs_slave,4.42
flamningdonkeybutt,4.42
seanemdyoung,4.42
Blandmtthw,4.41
trying_2b_normal,4.41
pitbulldavid2001 / caliguy4u_2005,4.41
jubjub970,4.41
vipper_131,4.41
drmz_1980,4.4
Devilzombie13,4.4
bendix632,4.4
Good Boy B88,4.39
singletxguyforfun,4.39
tunnels12000,4.39
Crazy4theNATS,4.37
terubble33,4.37
jackenit_6in,4.37
budd44800,4.37
fjk84412,4.36
goodguy1958,4.36
desiredalex,4.36
c_meandu,4.36
thomascoffen,4.35
ccndsu,4.35
peter2033,4.35
jarobert24,4.35
residentsmith,4.34
dble_d1,4.34
latinhawk63,4.34
john.frady2006,4.34
prcvegas10,4.33
singlemalestaynfit2000,4.33
sunrise_sunset66,4.33
sebastian_calif,4.33
skargakos,4.32
phil29ct,4.32
i_luv_the_putay,4.32
morg_stick,4.32
Slikesw,4.31
a_latino_man559,4.31
mr6317,4.31
bronx42162,4.31
RknRllAnml,4.31
malhotra.mohit,4.31
